"COUNTRY","DELIVERY_SITE_ID","DELIVERY_SITE_NAME","DELIVERY_SITE_STATUS","ESTIMATED_TIME_TO_DELIVERY_SITE","HEALTH_FACILITY_COUNTRY","HEALTH_FACILITY_GROUP","HEALTH_FACILITY_ID","HEALTH_FACILITY_KEY","HEALTH_FACILITY_LOCALITY","HEALTH_FACILITY_NAME","HEALTH_FACILITY_REGION","HEALTH_FACILITY_STATUS","IS_DIRECT_DELIVERY_SITE","NEST_ID","NEST_NAME"
"GH",3081,"Talensi District HSP","ready_for_operations",1642,"Ghana","Accredited by NBS, District Hospital, Talensi, Upper East",63,"4751281d842788184eb9272d829dec64","Talensi","Talensi District HSP","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",4796,"EP Mimi CL","ready_for_operations",1937,"Ghana","Adaklu District Facilities, HC Without a Doctor, Volta Region",40,"2690e245d7624296e2fd858bef734db0","Adaklu","EP Mimi CL","Volta","Operationalized","true",11,"GH5 Anum"
"GH",4797,"Waya HC","ready_for_operations",1990,"Ghana","Adaklu District Facilities, HC Without a Doctor, Volta Region",59,"52518ab602252513dbbfce4f836d4341","Adaklu","Waya HC","Volta","Operationalized","true",11,"GH5 Anum"
"GH",4323,"Nkrankrom CHPS","ready_for_operations",3189,"Ghana","Ahafo Facilities, CHPS with a Midwife",322,"66c99b960ab6d04e2e16ba31518f3e5a","Asutifi South","Nkrankrom CHPS","Ahafo","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",4133,"Oppongkrom CHPS","ready_for_operations",1329,"Ghana","Ahafo Facilities, CHPS without a midwife",250,"b6b6aed7f4b217c05e7fced4b6e99fe0","Asunafo South","Oppongkrom CHPS","Ahafo","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",5606,"Akatsi District HSP","ready_for_operations",3066,"Ghana","Akatsi South, CHPS Without a Midwife, Volta Region",373,"78e98dbdcbf3dbbe6a5d973c5e9b3a71","Akatsi South","Bata CHPS","Volta","Operationalized","false",11,"GH5 Anum"
"GH",5570,"Agbodrafor CHPS","ready_for_operations",3081,"Ghana","Akatsi South, CHPS Without a Midwife, Volta Region",276,"1a9ec9f707483d14df700acef971ab29","Akatsi South","Agbedrafor CHPS","Volta","Operationalized","true",11,"GH5 Anum"
"GH",4811,"Amedzofe HC","ready_for_operations",2063,"Ghana","Amedzofe HC, HC Without a Doctor, Ho West Facilities, RTSS Ordering Facilities, Volta Region",303,"9b0900e4cb7ae78d0f91fd8c71f84a72","Ho West","Amedzofe HC","Volta","Operationalized","true",11,"GH5 Anum"
"GH",3583,"Akokoaso (Sekyere East) HC","ready_for_operations",1482,"Ghana","Americare(WHW) B, Ashanti Region (Vaccines), Ashanti Region Facilities, DHIMMS, Health Center without Dr",111,"ed01d8bf9b59bf83d09a1d7cb4b273b8","Sekyere East","Akokoaso HC","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",2307,"Kyekyewere HC","ready_for_operations",916,"Ghana","Americare(WHW) B, Ashanti Region (Vaccines), Ashanti Region Facilities",2,"92c0ffac162388702954e5e94def34b3","Afigya Kwabre North","Kyekyewere HC","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",2792,"Oku Catholic HC","ready_for_operations",2058,"Ghana","Americare(WHW) B, Ashanti Region (Vaccines), Ashanti Region Facilities, Health Center With Dr, Sekyere Central District",189,"ab4a9c7087c4ae9591cf8a240428c436","Sekyere Central","Oku Catholic HC","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",5472,"Bongoso CHPS","ready_for_operations",2614,"Ghana","Aowin Facilities, CHPS without a midwife, Family Planning Facilities",109,"e91b8926cca85e85102737783b2575da","Aowin","Bongoso CHPS","Western North","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",3996,"Bethel Methodist (Kwawu) CL ","ready_for_operations",2368,"Ghana","Aowin Facilities, Clinic/Health Centre with a Doctor/ Physician Assistant, Family Planning Facilities",167,"746704bdca6dd6f2dbf5ba0babd57d25","Aowin","Bethel Methodist CL","Western","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",1031,"Ahwene Memorial HSP","ready_for_operations",2990,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, District Hospital",261,"5de5b97cff5a7ed415eaefe50b9be660","Bekwai Municipal","Ahwene Memorial HSP","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",1510,"Bemi CHPS","ready_for_operations",782,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, CHPS with midwife, Ejura Sekyedumase",374,"b47680b6e9673cacfff578ffb87c0497","Ejura Sekyedumase","Bemi CHPS","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",1118,"Amaning CHPS","ready_for_operations",1641,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, CHPS with midwife",209,"1d431bbc4e128e17fb2646c41c1ee31d","Offinso Municipal","Amaning CHPS","Ashanti","Obsolete","true",7,"GH2 Mpanya"
"GH",1217,"Anyanso CHPS","ready_for_operations",3048,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, CHPS without midwife",347,"acfe55cefb92a597babb052d40deafaa","Bosome Freho","Anyanso CHPS","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",4037,"Peri Kusanab CHPS","ready_for_operations",2170,"Ghana","Bawku West, CHPS without a Midwife, Upper East",170,"793bfd10e5adf2d8d809a9cbb7d34837","Bawku West","Peri-Kusanab CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",7950,"Tapa Alavanyo CHPS","ready_for_operations",1807,"Ghana","Biakoye, Oti, Oti CHPS with Midwife, Oti Health Centre Without MO",212,"dfa3fcc882c869aae3295f6ce24ae9b0","Biakoye","Tapa Alavanyo CHPS","Oti","Operationalized","true",12,"GH6 Krachi"
"GH",3060,"Sumbrungu HC","ready_for_operations",2106,"Ghana","Bolgatanga, Health Center without a Doctor, Upper East",378,"1df0018ff83bf77d82a571171e9cd4ab","Bolgatanga","Coronation HC","Upper East","Operationalized","false",8,"GH3 Vobsi"
"GH",2076,"Kabre CHPS","ready_for_operations",2911,"Ghana","Bongo, CHPS with a Midwife, Upper East",97,"e983b1a0a70b2ec6b7df4bf3af6ffede","Bongo","Kabre CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",1384,"Atampintin CHPS","ready_for_operations",2410,"Ghana","Bongo, CHPS without a Midwife, Upper East",60,"05a3446a331b7bc3a533e46f24153733","Bongo","Atampintin CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",5446,"Bunkpurugu HC","ready_for_operations",4087,"Ghana","Bunkpurugu-Nankpanduri, Health Center without a Doctor, North East, Upper East, Yunyoo Nasuan",374,"5c709411936c8354150ca6441ba04ca9",,"Gbingbani HC","North East","Operationalized","false",8,"GH3 Vobsi"
"GH",2320,"Loagri CHPS","ready_for_operations",1614,"Ghana","CHAG Facility, CHPS with a Midwife, Mamprugu Moaduri, North East",281,"28598c81f7a3600c512c9f0105b5aaa6","Mamprugu Moaduri","Loagri CHPS","North East","Operationalized","true",8,"GH3 Vobsi"
"GH",4730,"Tsutsukope CHPS","ready_for_operations",1748,"Ghana","CHPS Without a Midwife, Eastern Region, Kwahu Afram Plains South",280,"80f1bd147d70c991186f995f57754e6e","Kwahu Afram Plains South","Tsutsukope CHPS (Tease Island)","Eastern","Operationalized","true",11,"GH5 Anum"
"GH",5524,"Kluma CHPS","ready_for_operations",905,"Ghana","CHPS Without a Midwife, North Tongu, Volta Region",170,"92a8ef20ad5d14a2e387775a40d7b986","North Tongu","Kluma CHPS","Volta","Operationalized","true",11,"GH5 Anum"
"GH",2068,"Juapong HC","ready_for_operations",949,"Ghana","CHPS Without a Midwife, North Tongu, Volta Region",389,"b121c76965378be94e7ea53f9206f5c0","North Tongu","Ayimagonu CHPS","Volta","Operationalized","false",11,"GH5 Anum"
"GH",8041,"Bonkrom CHPS","ready_for_operations",3661,"Ghana","CHPS Without a Midwife, Eastern Region, Kwahu Afram Plains South",301,"9a08660c24445ee22afbd10ab3134a90","Kwahu Afram Plains South","Bonkrom CHPS","Eastern","Operationalized","true",11,"GH5 Anum"
"GH",4352,"Nananko CHPS ","ready_for_operations",2787,"Ghana","CHPS with a Midwife, Family Planning Facilities",378,"f5ac0209cf7f17804838a63171b7c2ef","Wassa Amenfi East","Nananko CHPS","Western","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",2099,"Kantankrubo CHPS","ready_for_operations",1780,"Ghana","CHPS with a Midwife, Family Planning Facilities, Juaboso Facilities",73,"5d3e70af21573f175527aea983955047","Juaboso","Kantankrubo CHPS","Western North","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",3845,"Otenkrang CHPS","ready_for_operations",2183,"","CHPS with midwife, Central",547,"9a6d3819eb1d5b4dd1410ffe47dff3d4","Agona West","Otenkrang CHPS (CR)","Central","Operationalized","true",5,"GH1 Omenako"
"GH",5691,"Ningoo CHPS","ready_for_operations",3989,"Ghana","CHPS with midwife, Eastern, Ningoo Chps",829,"bf834928cd440cef1adf4660f44b3ab9","Birim South","Ningoo CHPS","Eastern","Operationalized","true",5,"GH1 Omenako"
"GH",2492,"Namoo CHPS","ready_for_operations",1746,"Ghana","CHPS without a Midwife, Mamprugu Moaduri, North East",278,"cf7a4fafb2c29ba4319ad3577e5fa34e","Mamprugu Moaduri","Namoo (MMD) CHPS","North East","Operationalized","true",8,"GH3 Vobsi"
"GH",929,"Adansi CHPS","ready_for_operations",2080,"Ghana","CHPS without a midwife, Family Planning Facilities",155,"6138da62f230946162fd4ed4884d512a","Wassa Amenfi East","Adansi CHPS","Western","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",5596,"Manchare CHPS","ready_for_operations",1667,"Ghana","Eastern CHPS without midwife",217,"1285b421fd3fb1691c65400f686ae20f","kwahu Afram Plains North","Manchare CHPS","Eastern","Operationalized","true",12,"GH6 Krachi"
"GH",4067,"Sakote CHPS","ready_for_operations",2043,"Ghana","Health Center without a Doctor, Nabdam, Upper East",110,"d95dcf8e6716769b8d7c9421eafa7d27","Nabdam","Sakote HC","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",4877,"Guaman CHPS","ready_for_operations",2717,"Ghana","Jasikan District, Oti, Oti CHPS with Midwife",62,"79fec430dc575d6617f2608aa99998d8","Jasikan","Guaman CHPS","Oti","Operationalized","true",12,"GH6 Krachi"
"GH",4794,"Ablornu CHPS","ready_for_operations",2100,"Ghana","Ablornu CHPS, Adaklu District Facilities, CHPS Without a Midwife, Volta Region",5,"1e83d083ba67370c68f8031bce03ebe7","Adaklu","Ablornu CHPS","Volta","Operationalized","true",11,"GH5 Anum"
"GH",3891,"St Gregory Catholic HSP","ready_for_operations",2326,"","Accredited by NBS, Central, District Hospital",377,"e48dcc4f87271c10aa7c16bb083b89ae","Gomoa East","St Gregory Catholic HSP(CR)","Central","Operationalized","true",5,"GH1 Omenako"
"GH",5370,"Hasu PC a.k.a Helekpe CHPS","ready_for_operations",1473,"Ghana","Adaklu District Facilities, HC Without a Doctor, Volta Region",42,"43423e407d9ff4cda54fa4779f72605b","Adaklu","Hasu PC a.k.a Helekpe CHPS","Volta","Operationalized","true",11,"GH5 Anum"
"GH",4802,"Have CHPS","ready_for_operations",1229,"Ghana","Adaklu District Facilities, CHPS With a Midwife, Have CHPS, Volta Region",46,"c52b1bac56248726975e23fcb478bdb0","Adaklu","Have (Adaklu District) CHPS","Volta","Operationalized","true",11,"GH5 Anum"
"GH",915,"Abuom Rural HC","ready_for_operations",2050,"Ghana","Ahafo Facilities, Clinic/Health Centre with a Doctor/ Physician Assistant",255,"b141c393091460480dd61c701fea8333","Asunafo South","Abuom HC","Ahafo","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",5629,"Tsigbene CHPS","ready_for_operations",3015,"Ghana","Akatsi South, CHPS With a Midwife, Volta Region",262,"6f3f1bf2b9bb389dc03e731547adccca","Akatsi South","Xavi CHPS","Volta","Operationalized","false",11,"GH5 Anum"
"GH",2576,"Nkwankwaanua HC","ready_for_operations",1543,"Ghana","Americare(WHW) B, Ashanti Region (Vaccines), Ashanti Region Facilities, DHIMMS, Health Center With Dr, Health Center without Dr, Regional Medical Stores",91,"5aba8b456df4b010ebdd25d45d92f56c","Sekyere East","Nkwankwaanua HC","Ashanti","Suspended partially","true",7,"GH2 Mpanya"
"GH",1147,"Amonie Presby HC","ready_for_operations",2312,"Ghana","Aowin Facilities, Family Planning Facilities, Health Centre without a Doctor/ Physician Assistant ( with a Midwife)",85,"e244c2f640b6e2472ba14ce77445412e","Aowin","Amonie Presby HC","Western North","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",2656,"Nweneso No. 3 CHPS","ready_for_operations",3106,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, CHPS with midwife",191,"71afb54a667c5a5d6688b3aff406e234","Atwima Kwanwoma","Nweneso No.3 CHPS","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",4471,"Freboye HC","ready_for_operations",3256,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, CHPS with midwife, DHIMMS",291,"6b181dc76eb57504917069f0c373c8ab","Bosome Freho","Freboye CHPS","Ashanti","Suspended partially","true",7,"GH2 Mpanya"
"GH",1895,"Dasagua CHPS","ready_for_operations",1842,"Ghana","Ashanti Region Facilities, Bono East, Ahafo Region Facilities, CHPS without midwife, [Deprecated]",325,"bab6fd194f36462b205db2c44950c26b","Nkoranza South","Dasagua CHPS","Bono East","Operationalized","true",7,"GH2 Mpanya"
"GH",1433,"Ayerede HC","ready_for_operations",1947,"Ghana","Ashanti Region Facilities, Bono East, Ahafo Region Facilities, Health Center without Dr, [Deprecated]",119,"57051cbda68cbb5f8e5a37388c27935d","Nkoranza South","Ayerede HC","Bono East","Operationalized","true",7,"GH2 Mpanya"
"GH",847,"Abamba CHPS","ready_for_operations",2597,"Ghana","Ashanti Region Facilities, Bono East, Ahafo Region Facilities, CHPS with midwife, CHPS without midwife, [Deprecated]",104,"fd496c223190f5e4e2b84001daaa5882","Atebubu Amantin","Abamba CHPS","Bono East","Operationalized","true",7,"GH2 Mpanya"
"GH",2948,"Saviour Community HC","ready_for_operations",3241,"Ghana","Ashanti Region Facilities, DHIMMS",362,"c88c3075fe759be0b89c18c7988be4be","Bekwai Municipal","Savior Community HC","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",1671,"Camp 15 CHPS","ready_for_operations",2974,"Ghana","Bia East Facilities, CHPS with a Midwife, Family Planning Facilities",433,"e9b32c5bff54ad6fbca18e2531e4e4d0","Bia East","Camp 15 CHPS","Western North","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",4868,"Bowiri Takrabe CHPS","ready_for_operations",2643,"Ghana","Biakoye, Oti, Oti CHPS without Midwife",16,"9601c27d81c8eb08b3feb33d29608200","Biakoye","Bowiri Takrabe CHPS","Oti","Operationalized","true",12,"GH6 Krachi"
"GH",2011,"Humjibre CHPS","ready_for_operations",1107,"Ghana","Bibiani Anhwiaso Bekwai Facilities, CHPS with a Midwife, Family Planning Facilities",63,"26e63ab5be7a665e8da0df46bd5cd502","Bibiani Anhwiaso Bekwai","Humjibre CHPS","Western North","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",5496,"Battor Catholic HSP","ready_for_operations",1831,"Ghana","Blood Transfusion Facilities, District Hospital, North Tongu, Volta Region",159,"a24b110d36b737491cb8363d742ecd3e","North Tongu","Battor Catholic HSP","Volta","Operationalized","true",11,"GH5 Anum"
"GH",4138,"Kanchiabo CHPS","ready_for_operations",1452,"Ghana","Bodi Facilities, CHPS without a midwife, Family Planning Facilities",211,"8d24cbc737d880cf85e7b542c51969de","Bodi","Kanchiabo CHPS","Western North","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",4140,"Puakrom CHPS","ready_for_operations",1313,"Ghana","Bodi Facilities, CHPS with a Midwife, Family Planning Facilities",79,"65b948ccea372152d24d8daab37b7283","Bodi","Puakrom CHPS","Western North","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",1443,"Apaatanga CHPS","ready_for_operations",2439,"Ghana","Bongo, CHPS with a Midwife, Upper East",21,"ea99650ac9a6de0a526823718a318106","Bongo","Apaatanga CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",3185,"Wagliga CHPS","ready_for_operations",2288,"Ghana","Bongo, CHPS with a Midwife, Upper East",124,"a0481b34c9156c34c0dac3eb96aecd5a","Bongo","Wagliga CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",5117,"Bassa Hc","ready_for_operations",1631,"Ghana","Bono, Bono East Health Centre without MO",164,"9522ed525cea78cff7c11212356e673b","Sene East","Bassa HC","Bono East","Operationalized","true",12,"GH6 Krachi"
"GH",5126,"Lassi Hc","ready_for_operations",2772,"Ghana","Bono, Bono East Health Centre without MO, Sene West",149,"94331bb0a3de3dc367236ee393fe2268","Sene West","Lassi HC","Bono East","Operationalized","true",12,"GH6 Krachi"
"GH",1977,"Avoenia-Gwenia CHPS","ready_for_operations",3309,"Ghana","CHAG Facility, CHPS with a Midwife, Kassena Nankana West, Upper East",349,"a7033eb8dd62018a8f8c2a6be8a9fff6","Kassena Nankana West","Avoenia-Gwenia CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",5498,"Dalive CHPS","ready_for_operations",2938,"Ghana","CHPS With a Midwife, South Tongu, Volta Region",212,"1d914b813e9decbe93ccd83bd17922ce","South Tongu","Dalive CHPS","Volta","Operationalized","true",11,"GH5 Anum"
"GH",6136,"Liverkope CHPS","ready_for_operations",1221,"Ghana","CHPS Without a Midwife, Eastern Region, Kwahu Afram Plains North",407,"4cbb33e92128df71c8100e9ab2b83c20","Kwahu Afram Plains North","Liverkope CHPS","Eastern","Operationalized","true",11,"GH5 Anum"
"GH",4720,"Takoratwene CHPS","ready_for_operations",3034,"Ghana","CHPS Without a Midwife, Eastern Region, Kwahu Afram Plains South",230,"ab4ccd3e35ef4b70debd7bd56c83a73b","Kwahu Afram Plains South","Takoratwene CHPS","Eastern","Operationalized","true",11,"GH5 Anum"
"GH",5614,"Avoyikope CHPS","ready_for_operations",2626,"Ghana","CHPS Without a Midwife, RTSS Ordering Facilities, Volta Region",79,"168628a5355ff767c976d92243464b31","Akatsi North","Avoryikope CHPS","Volta","Operationalized","true",11,"GH5 Anum"
"GH",3618,"Agyata CHPS","ready_for_operations",3023,"Ghana","CHPS Without a Midwife, Eastern Region, Kwahu Afram Plains South",30,"f4232b3f936ba676f82a292b2ba8b790","Kwahu Afram Plains South","Agyata CHPS","Eastern","Operationalized","true",11,"GH5 Anum"
"GH",4717,"Adukrom (Afram Plains North) CHPS","ready_for_operations",2540,"Ghana","CHPS Without a Midwife, Eastern Region, Kwahu Afram Plains North",133,"397784a614558918b3bf3261abb7f04f","Kwahu Afram Plains North","Adukrom (Afram Plains North) CHPS","Eastern","Operationalized","true",11,"GH5 Anum"
"GH",5408,"Mafi Dekpoe CHPS","ready_for_operations",1901,"Ghana","CHPS Without a Midwife, Central Tongu, RTSS Ordering Facilities, Volta Region",120,"e5f376566b9a57bc84bce6306a985409","Central Tongu","Mafi Dekpoe CHPS","Volta","Operationalized","true",11,"GH5 Anum"
"GH",3942,"Abume CHPS","ready_for_operations",1091,"Ghana","CHPS Without a Midwife, Eastern Region",384,"3d23a324281e378b3549f9505af135d4","Asuogyaman","Abume CHPS","Eastern","Operationalized","true",11,"GH5 Anum"
"GH",2510,"Natugnia CHPS","ready_for_operations",2653,"Ghana","CHPS with a Midwife, Kassena Nankana East, Upper East",334,"cb10516d681d4b3e5f40f5e2fcd9d74a","Kassena Nankana East","Natugnia CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",4095,"Katiu CHPS","ready_for_operations",3381,"Ghana","CHPS with a Midwife, Kassena Nankana West, Upper East",389,"df6b25fd8107049d48e7249bfa6b64a6","Kassena Nankana West","Nakong CHPS","Upper East","Operationalized","false",8,"GH3 Vobsi"
"GH",1744,"Datano (Amansie South) CHPS","ready_for_operations",2162,"Ghana","CHPS with a Midwife",357,"17c885e11dd797a1b0213299deb20218","Amansie South","Datano CHPS(Amansie South)","Ashanti","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",4668,"Katani CHPS","ready_for_operations",2884,"Ghana","CHPS with a Midwife, Gushegu, Northern",355,"00dab6f6e91d14af32828644111baf35","Gushegu","Katani CHPS","Northern","Operationalized","true",8,"GH3 Vobsi"
"GH",2112,"Katigre CHPS","ready_for_operations",1712,"Ghana","CHPS with a Midwife, Mamprugu Moaduri, North East",258,"a698effd3f9365501a830713a042938d","Mamprugu Moaduri","Katigri CHPS","North East","Operationalized","true",8,"GH3 Vobsi"
"GH",3263,"Yindure CHPS","ready_for_operations",1432,"Ghana","CHPS with a Midwife, Talensi, Upper East, VSD Talensi District",54,"ad19c3e9e2808f520afb95dfc5bde335","Talensi","Yindure CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",1459,"Bagurugu CHPS","ready_for_operations",1797,"Ghana","CHPS with a Midwife, Karaga, Northern, VSD Karaga District",276,"9def8cd6cbc887c0f75a306567e07d7b","Karaga","Bagurugu CHPS","Northern","Operationalized","true",8,"GH3 Vobsi"
"GH",2512,"Navio CHPS","ready_for_operations",3020,"Ghana","CHPS with a Midwife, Kassena Nankana West, Upper East",336,"02e18da408bca051b8b39d0419927435","Kassena Nankana West","Navio CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",4266,"Borgu CHPS","ready_for_operations",2580,"Ghana","CHPS with a Midwife, CHPS without a Midwife, Gushegu, Northern",284,"514f1888dd4e7bd75e15f56eb8449d14","Gushegu","Borgu CHPS","Northern","Operationalized","true",8,"GH3 Vobsi"
"GH",4077,"Korania CHPS","ready_for_operations",2685,"Ghana","CHPS with a Midwife, Kassena Nankana East, Upper East",157,"cde84913d5b35fa78e995621035bf1fa","Kassena Nankana East","Korania CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",1832,"Edewakrom CHPS","ready_for_operations",2109,"Ghana","CHPS with a Midwife, Family Planning Facilities, Sefwi Akontombra Facilities",42,"bce08c585c193620c8ce7611c65f719c","Sefwi Akontombra","Edewakrom CHPS","Western North","Suspended partially","true",9,"GH4 Sefwi Wiawso"
"GH",1190,"Ankaasie CHPS","ready_for_operations",1365,"Ghana","CHPS with a Midwife, Family Planning Facilities",119,"8cd53b0d2cf23f6a2a1633f983af5016","Wassa Amenfi Central","Ankaasie CHPS","Western","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",3877,"Domeabra CHPS-GH-1","ready_for_operations",2476,"Ghana","CHPS with midwife, Central, WFH",470,"22774afd6d3919aa45430c16752b3896","Asikuma Odoben Brakwa","Domeabra CHPS (CR)","Central","Operationalized","true",5,"GH1 Omenako"
"GH",3878,"Breman Ayipeh CHPS","ready_for_operations",3168,"Ghana","CHPS with midwife, Central",481,"837ce62d74e642baa95778d8f5e55cb3","Asikuma Odoben Brakwa","Breman Ayipeh CHPS(CR)","Central","Operationalized","true",5,"GH1 Omenako"
"GH",3156,"Tumuda CHPS","ready_for_operations",1009,"Ghana","CHPS without a midwife, Family Planning Facilities, Sefwi Akontombra Facilities",393,"f6f864c75dff1b23ab02f3089b3052e3","Sefwi Akontombra","Tumuda CHPS","Western North","Suspended partially","true",9,"GH4 Sefwi Wiawso"
"GH",2054,"Nkwanta(Juaboso) CHPS","ready_for_operations",2068,"Ghana","CHPS without a midwife, Family Planning Facilities, Free Products, Juaboso Facilities",397,"eb68af1d050e81e2d99a34650de53765","Juaboso","Nkwanta(Juaboso) CHPS","Western North","Suspended partially","true",9,"GH4 Sefwi Wiawso"
